序号,时间,从,到,版本,原因
1,2026-03-31 14:53:05,DEPLOYING,IDLE,v0.1.12,[force] resume: 服务不存在，重置状态
2,2026-03-31 14:53:05,IDLE,INITIALIZING,v0.1.12,开始部署 v0.1.12
3,2026-03-31 14:53:05,INITIALIZING,DEPLOYING,v0.1.12,执行 helm upgrade
4,2026-03-31 14:53:46,DEPLOYING,IDLE,v0.1.12,[force] resume: 服务不存在，重置状态
5,2026-03-31 14:53:46,IDLE,INITIALIZING,v0.1.12,开始部署 v0.1.12
6,2026-03-31 14:53:46,INITIALIZING,DEPLOYING,v0.1.12,执行 helm upgrade
7,2026-03-31 14:54:03,DEPLOYING,VALIDATING,v0.1.12,验证部署结果
8,2026-03-31 14:54:03,VALIDATING,RUNNING,v0.1.12,部署验证通过
9,2026-03-31 15:39:59,RUNNING,INITIALIZING,v0.1.12,开始部署 v0.1.12
10,2026-03-31 15:39:59,INITIALIZING,DEPLOYING,v0.1.12,执行 helm upgrade
11,2026-03-31 15:43:49,DEPLOYING,ROLLING_BACK,v0.1.12,整组回滚
12,2026-03-31 15:43:49,ROLLING_BACK,RUNNING,v0.1.12,整组回滚成功
13,2026-04-03 04:50:34,RUNNING,INITIALIZING,v0.1.12,开始部署 v0.1.12
14,2026-04-03 04:50:34,INITIALIZING,DEPLOYING,v0.1.12,执行 helm upgrade
15,2026-04-03 04:56:28,DEPLOYING,VALIDATING,v0.1.12,验证部署结果
16,2026-04-03 04:56:28,VALIDATING,RUNNING,v0.1.12,部署验证通过
17,2026-04-03 06:01:29,RUNNING,INITIALIZING,v0.1.12,开始部署 v0.1.12
18,2026-04-03 06:01:29,INITIALIZING,DEPLOYING,v0.1.12,执行 helm upgrade
19,2026-04-03 06:01:41,DEPLOYING,VALIDATING,v0.1.12,验证部署结果
20,2026-04-03 06:01:41,VALIDATING,RUNNING,v0.1.12,部署验证通过
